Variable,Val_RMSE_per_cell_mean,Val_RMSE_per_cell_median,Val_RMSE_per_cell_std,Val_RMSE_domain_mean_ts,Val_KGE_per_cell_mean,Val_KGE_per_cell_median,Val_r_per_cell_mean,Val_r_per_cell_median,Val_Bias_per_cell_mean,Val_Bias_per_cell_median,Val_n_cells
pr,9.20217100392766,9.289518257282678,1.4937273147220282,5.0097413,0.024667013,0.021286488,0.035743028,0.033194404,-0.10977387,-0.090924226,41472
tasmax,7.856728782221574,7.89246834802533,0.223440662010542,6.992122,0.8074353,0.80903924,0.8077198,0.8092687,0.029859915,0.0039752047,41472
tasmin,7.02163292170798,7.066204713230793,0.1830705764105656,6.33194,0.8135649,0.8166883,0.81428546,0.8168421,-0.07861541,-0.050321937,41472
rsds,58.172356218733974,58.05694413064526,2.1924421951209756,40.130444,0.74381393,0.7421173,0.7486372,0.7486069,-2.4675756,-2.460228,41472
wind,2.216368425209272,2.207907989445614,0.14020210185924298,1.7788639,0.027881647,0.01949513,0.036391634,0.028592834,-0.2712917,-0.26782244,41472
huss,0.002835203389533973,0.0028457207531141,0.0002223996168216381,0.0024623368,0.7827242,0.7828376,0.78776276,0.7875325,0.00018750915,0.00017205642,41472
