Variable,Val_KGE,Val_RMSE_pooled,Val_Bias,Val_Ext99_Bias%,Val_Lag1_Obs,Val_Lag1_Sim,Val_Lag1_Err,Val_Spatial_Bias,Val_WDF_Obs%,Val_WDF_Sim%
pr,0.028896576587284284,9.322617,-0.10977411,-13.436818,0.3641029073250169,0.38200998755052884,0.017907080225511962,-0.10977273,32.39620270894528,38.25768903653778
tasmax,0.8173168210354542,7.8599057,0.029876709,-0.20526634,0.9624520692614932,0.9629736869524096,0.0005216176909164094,0.029862735,,
tasmin,0.8218703876175615,7.0240197,-0.07861328,-0.031340707,0.9689036801836923,0.9675258890551787,0.0013777911285136613,-0.07861537,,
rsds,0.7456887254993467,58.213665,-2.4675903,0.54575837,0.9231932421561898,0.916819499803251,0.00637374235293886,-2.4675763,,
wind,0.061041441484327996,2.2207985,-0.27129173,-8.180976,0.4497156494041549,0.4155178531466797,0.03419779625747521,-0.27129158,,
huss,0.7872267331883205,0.002843913,0.0001875097,-0.89505327,0.955785656831722,0.9604732914259092,0.0046876345941871955,0.00018750943,,
