variable,window,product,pipeline_id,metric,value,note
tasmax,validation_2006_2014,GridMET,,p01_pooled,260.0199890136719,
tasmax,validation_2006_2014,GridMET,,p99_pooled,312.4800109863281,
tasmax,validation_2006_2014,GridMET,,lag1_domain_mean,0.9624246615522147,
tasmax,validation_2006_2014,GridMET,,seasonal_range_domain_mean,31.201446533203125,
tasmax,validation_2006_2014,GridMET,,pooled_skew,-0.2999557554721832,
tasmax,validation_2006_2014,GridMET,,pooled_cv,0.045034248381853104,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_variance,165.97076416015625,
tasmax,validation_2006_2014,S3_cmip6_inputs,,p01_pooled,-13.031323432922363,
tasmax,validation_2006_2014,S3_cmip6_inputs,,p99_pooled,38.8598747253418,
tasmax,validation_2006_2014,S3_cmip6_inputs,,lag1_domain_mean,0.9652195272787568,
tasmax,validation_2006_2014,S3_cmip6_inputs,,seasonal_range_domain_mean,32.09115219116211,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_skew,-0.3134239614009857,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_cv,0.7981008291244507,
tasmax,validation_2006_2014,S3_cmip6_inputs,,KGE_vs_GridMET,0.03671583840317438,
tasmax,validation_2006_2014,S3_cmip6_inputs,,RMSE_vs_GridMET,272.8251953125,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_variance,163.21156311035156,
tasmax,validation_2006_2014,DOR,test8_v2,p01_pooled,259.95263671875,
tasmax,validation_2006_2014,DOR,test8_v2,p99_pooled,311.77435302734375,
tasmax,validation_2006_2014,DOR,test8_v2,lag1_domain_mean,0.9546872670909086,
tasmax,validation_2006_2014,DOR,test8_v2,seasonal_range_domain_mean,32.21630859375,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_skew,-0.340789794921875,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_cv,0.044157832860946655,
tasmax,validation_2006_2014,DOR,test8_v2,KGE_vs_GridMET,0.8008802733809255,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_variance,163.21156311035156,
tasmax,validation_2006_2014,DOR,test8_v3,p01_pooled,259.95263671875,
tasmax,validation_2006_2014,DOR,test8_v3,p99_pooled,311.77435302734375,
tasmax,validation_2006_2014,DOR,test8_v3,lag1_domain_mean,0.9546872670909086,
tasmax,validation_2006_2014,DOR,test8_v3,seasonal_range_domain_mean,32.21630859375,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_skew,-0.340789794921875,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_cv,0.044157832860946655,
tasmax,validation_2006_2014,DOR,test8_v3,KGE_vs_GridMET,0.8008802733809255,
tasmax,validation_2006_2014,DOR,test8_v4,pooled_variance,163.21156311035156,
tasmax,validation_2006_2014,DOR,test8_v4,p01_pooled,259.95263671875,
tasmax,validation_2006_2014,DOR,test8_v4,p99_pooled,311.77435302734375,
tasmax,validation_2006_2014,DOR,test8_v4,lag1_domain_mean,0.9546872670909086,
tasmax,validation_2006_2014,DOR,test8_v4,seasonal_range_domain_mean,32.21630859375,
tasmax,validation_2006_2014,DOR,test8_v4,pooled_skew,-0.340789794921875,
tasmax,validation_2006_2014,DOR,test8_v4,pooled_cv,0.044157832860946655,
tasmax,validation_2006_2014,DOR,test8_v4,KGE_vs_GridMET,0.8008802733809255,
tasmax,validation_2006_2014,LOCA2,,pooled_variance,163.43238830566406,
tasmax,validation_2006_2014,LOCA2,,p01_pooled,260.0941162109375,
tasmax,validation_2006_2014,LOCA2,,p99_pooled,310.224365234375,
tasmax,validation_2006_2014,LOCA2,,lag1_domain_mean,0.9714245721848563,
tasmax,validation_2006_2014,LOCA2,,seasonal_range_domain_mean,32.350067138671875,
tasmax,validation_2006_2014,LOCA2,,pooled_skew,-0.38578248023986816,
tasmax,validation_2006_2014,LOCA2,,pooled_cv,0.044210657477378845,
tasmax,validation_2006_2014,LOCA2,,KGE_vs_GridMET,0.810209103296955,
tasmax,validation_2006_2014,NEX,,pooled_variance,158.36993408203125,
tasmax,validation_2006_2014,NEX,,p01_pooled,260.28570556640625,
tasmax,validation_2006_2014,NEX,,p99_pooled,310.69439697265625,
tasmax,validation_2006_2014,NEX,,lag1_domain_mean,0.971624656694118,
tasmax,validation_2006_2014,NEX,,seasonal_range_domain_mean,32.385711669921875,
tasmax,validation_2006_2014,NEX,,pooled_skew,-0.41865667700767517,
tasmax,validation_2006_2014,NEX,,pooled_cv,0.04344664141535759,
tasmax,validation_2006_2014,NEX,,KGE_vs_GridMET,0.8169344537795733,
tasmin,validation_2006_2014,GridMET,,pooled_variance,137.1725616455078,
tasmin,validation_2006_2014,GridMET,,p01_pooled,248.50399780273438,
tasmin,validation_2006_2014,GridMET,,p99_pooled,296.5760192871094,
tasmin,validation_2006_2014,GridMET,,lag1_domain_mean,0.9688985560923461,
