Method,Val_KGE,Val_RMSE_pooled,Val_Bias,Val_Ext99_Bias%,Val_Lag1_Obs,Val_Lag1_Sim,Val_Lag1_Err,Val_WDF_Obs%,Val_WDF_Sim%
conservative,0.02881283323034356,9.31744,-0.1098361,-13.462845,0.3641029073250169,0.38213015674068823,0.018027249415671354,32.39620270894528,38.25636130530061
bilinear,0.02366283545468606,9.055923,-0.12147021,-17.256937,0.3641029073250169,0.39686434669393916,0.032761439368922285,32.317395233232375,38.026971506918564
nearest,0.0289536328128287,9.331631,-0.10953593,-13.264855,0.3641029073250169,0.38134133446090673,0.017238427135889856,32.39474648821869,38.257749764464904
