Variable,Val_KGE,Val_RMSE_pooled,Val_Bias,Val_Ext99_Bias%,Val_Lag1_Obs,Val_Lag1_Sim,Val_Lag1_Err,Val_Spatial_Bias,Val_WDF_Obs%,Val_WDF_Sim%
pr,0.028896576587284284,9.322617,-0.10977411,-13.436818,0.3641029073250169,0.38200998755052884,0.017907080225511962,-0.10977273,32.39620270894528,38.25768903653778
tasmax,0.8172831531700901,7.885422,0.031433105,-0.047822263,0.9624520692614932,0.9628571609026337,0.0004050916411405536,0.031415448,,
tasmin,0.8210585459724602,7.0592127,-0.08932495,0.04501497,0.9689036801836923,0.9673101413739925,0.0015935388096998127,-0.08931822,,
rsds,0.7466519506216567,58.47551,-2.4971619,1.0030667,0.9231932421561898,0.9171744679167128,0.006018774239477054,-2.497173,,
wind,0.06253517591820457,2.253403,-0.27321577,-5.949122,0.4497156494041549,0.4163869110004643,0.033328738403690605,-0.27321562,,
huss,0.786750464081001,0.0028438505,0.00018471386,-0.14258334,0.955785656831722,0.9604212335485419,0.004635576716819911,0.00018471415,,
