stage,product,pipeline_id,variable,mean_hist,mean_fut,signal,signal_kind,std_spatial_delta,ext99_hist,ext99_fut,delta_ext99,note
S1_raw,Cropped_Iowa_Raw,,pr,2.565720165934582,2.607069922766907,1.6116237602687544,pct,3.887872944264244,31.775545692443824,32.93454936981199,3.6474705693024134,
S2_bc,BCPC_mv_otbc_physics_corrected,,pr,2.5228916197427753,2.4111543912251117,-4.428934980756994,pct,5.7512991873931965,31.868282165527006,30.918087100982653,-2.981632519788524,
S3_regrid,cmip6_inputs,,pr,2.534106492996216,2.4155569076538086,-4.678161183173401,pct,5.362580299377441,30.154950199127143,29.242661495208722,-3.025336463483186,
external,LOCA2,,pr,2.351439952850342,2.365748643875122,0.608507565815164,pct,4.8819050788879395,33.210007362365786,34.02169025421131,2.4440912734163156,
external,NEX,,pr,2.315231962273578,2.323836105934669,0.3716319918512845,pct,3.5928463269155277,26.090532689777053,26.51908307415763,1.6425513019421079,
S4_dor,DOR,test8_v2,pr,2.319449731305903,2.2408006966767258,-3.3908488954829674,pct,5.230718922333963,31.080932655334436,30.44237140655514,-2.054511220308175,
S4_dor,DOR,test8_v3,pr,2.500255543691044,2.413303022962966,-3.4777453813755077,pct,5.185816410405317,33.12565231323242,32.442579307556116,-2.06206657975585,
S4_dor,DOR,test8_v4,pr,2.5011716589009447,2.414457258851877,-3.466951206879665,pct,5.229977559413134,33.432935752868616,32.74709896087643,-2.0513807015416607,
S1_raw,Cropped_Iowa_Raw,,tasmax,14.314368704762666,15.521363242778163,1.206994538015497,abs,0.11386419132418718,36.8093893432617,38.451350097656245,1.641960754394546,
S2_bc,BCPC_mv_otbc_physics_corrected,,tasmax,15.600928085294887,16.94290145576176,1.3419733704668726,abs,0.06347612051823542,38.03778598785396,40.03070831298828,1.992922325134323,
S3_regrid,cmip6_inputs,,tasmax,15.56689167022705,16.909292221069336,1.3424005508422852,abs,0.058638714253902435,37.720069885253906,39.65602306365963,1.9359531784057253,
external,LOCA2,,tasmax,288.6233215332031,289.8387451171875,1.215423583984375,abs,0.11551719158887863,309.1153259277344,310.75494384765625,1.639617919921875,
external,NEX,,tasmax,289.0950208240976,290.2813501847367,1.1863293606390926,abs,0.10895205245751116,309.4708312879016,311.28976751739685,1.8189362294952502,
S4_dor,DOR,test8_v2,tasmax,288.7380486032203,290.0786832964091,1.3406346931888038,abs,0.06316294125403776,310.68194580078125,312.64422607421875,1.9622802734375,
S4_dor,DOR,test8_v3,tasmax,288.7380486032203,290.0786832964091,1.3406346931888038,abs,0.06316294125403776,310.68194580078125,312.64422607421875,1.9622802734375,
S4_dor,DOR,test8_v4,tasmax,288.7380486032203,290.0786832964091,1.3406346931888038,abs,0.06316294125403776,310.68194580078125,312.64422607421875,1.9622802734375,
S1_raw,Cropped_Iowa_Raw,,tasmin,6.085907425317672,7.367169803932992,1.2812623786153194,abs,0.06493565428345517,28.05653045654296,29.771301574706996,1.7147711181640375,
S2_bc,BCPC_mv_otbc_physics_corrected,,tasmin,3.669273662602675,4.803830729150327,1.1345570665476523,abs,0.07155314614159028,23.883655548095703,24.898900680541985,1.0152451324462817,
S3_regrid,cmip6_inputs,,tasmin,3.7094690799713135,4.840456008911133,1.1309869289398193,abs,0.06570110470056534,23.653104782104492,24.571205139160156,0.9181003570556641,
external,LOCA2,,tasmin,276.5868835449219,277.8483581542969,1.261474609375,abs,0.07340864837169647,296.6437072753906,298.1976318359375,1.553924560546875,
external,NEX,,tasmin,277.1212468333643,278.40528562791843,1.2840387945541352,abs,0.06581499598273689,297.9456819407307,299.37294972679996,1.427267786069251,
S4_dor,DOR,test8_v2,tasmin,276.8914302633121,278.022963606589,1.1315333432768853,abs,0.0657257268266788,296.6123046875,297.5165710449219,0.904266357421875,
S4_dor,DOR,test8_v3,tasmin,276.8914302633121,278.022963606589,1.1315333432768853,abs,0.0657257268266788,296.6123046875,297.5165710449219,0.904266357421875,
S4_dor,DOR,test8_v4,tasmin,276.8914302633121,278.022963606589,1.1315333432768853,abs,0.0657257268266788,296.6123046875,297.5165710449219,0.904266357421875,
S1_raw,Cropped_Iowa_Raw,,rsds,173.10929928580143,176.5807815422023,3.4714822564008614,abs,1.8566403966728302,353.66845703125,358.3848999023437,4.7164428710937045,
S2_bc,BCPC_mv_otbc_physics_corrected,,rsds,172.8397818753502,176.96921545464207,4.129433579291856,abs,1.1803925170210896,323.2322723388671,326.1345883178711,2.9023159790039585,
S3_regrid,cmip6_inputs,,rsds,172.63790893554688,176.7686004638672,4.1306915283203125,abs,1.0838291645050049,321.43994140625,324.4644775390625,3.0245361328125,
external,NEX,,rsds,209.80619714729656,212.5714035533095,2.765206406012936,abs,1.424950195074537,365.65538766693254,372.31218455853553,6.656796891602994,
S4_dor,DOR,test8_v2,rsds,172.40379127248735,176.54221798966338,4.138426717176031,abs,1.1008962013779722,323.0906677246094,326.4283447265625,3.337677001953125,
S4_dor,DOR,test8_v3,rsds,172.40379127248735,176.54221798966338,4.138426717176031,abs,1.1008962013779722,323.0906677246094,326.4283447265625,3.337677001953125,
S4_dor,DOR,test8_v4,rsds,172.40379127248735,176.54221798966338,4.138426717176031,abs,1.1008962013779722,323.0906677246094,326.4283447265625,3.337677001953125,
S1_raw,Cropped_Iowa_Raw,,wind,4.025221741772612,3.8078487915881416,-0.21737295018447078,abs,0.08879463192958771,11.260837526321403,10.531925821304316,-0.7289117050170866,
S2_bc,BCPC_mv_otbc_physics_corrected,,wind,4.152941609247769,4.029368831073428,-0.1235727781743412,abs,0.05399953694872704,8.560720405578593,8.390960302352903,-0.16976010322568946,
S3_regrid,cmip6_inputs,,wind,4.149655342102051,4.020926475524902,-0.12872886657714844,abs,0.04850459843873978,8.271112928390494,8.083669662475586,-0.1874432659149079,
external,NEX,,wind,3.642726460683923,3.457465166382747,-0.185261294301176,abs,0.0566344186734164,8.209387321161397,7.68705352855302,-0.5223337926083778,
S4_dor,DOR,test8_v2,wind,4.204302047145498,4.074690815561662,-0.12961123158383625,abs,0.0500718796808658,8.624849319458008,8.41992045402526,-0.20492886543274835,
S4_dor,DOR,test8_v3,wind,4.204347978012999,4.074737963807849,-0.1296100142051495,abs,0.050056208751399815,8.625231742858887,8.420336723327637,-0.20489501953125,
S4_dor,DOR,test8_v4,wind,4.204347978012999,4.074737963807849,-0.1296100142051495,abs,0.050056208751399815,8.625231742858887,8.420336723327637,-0.20489501953125,
S1_raw,Cropped_Iowa_Raw,,huss,0.0069605041339422715,0.007373621926298331,0.0004131177923560594,abs,5.285551469558619e-05,0.018569636922329665,0.01905972382053733,0.0004900868982076652,
S2_bc,BCPC_mv_otbc_physics_corrected,,huss,0.006191243328292975,0.006567835362981334,0.0003765920346883592,abs,4.9267252013485656e-05,0.016744373422116033,0.01714118367061019,0.0003968102484941567,
S3_regrid,cmip6_inputs,,huss,0.006205929908901453,0.006583729293197393,0.0003777993842959404,abs,4.437953975866549e-05,0.01664239540696144,0.017034919932484627,0.00039252452552318573,
external,NEX,,huss,0.007537438866472227,0.007997034650106727,0.0004595957836345003,abs,6.984136699990013e-05,0.019756686159374516,0.020559717362708136,0.00080303120333362,
S4_dor,DOR,test8_v2,huss,0.006485897628103138,0.006863414914733782,0.00037751728663064366,abs,4.4332899058158754e-05,0.017199257388710976,0.017551293596625328,0.0003520362079143524,
S4_dor,DOR,test8_v3,huss,0.006485897628103138,0.006863414914733782,0.00037751728663064366,abs,4.4332899058158754e-05,0.017199257388710976,0.017551293596625328,0.0003520362079143524,
S4_dor,DOR,test8_v4,huss,0.006485897628103138,0.006863414914733782,0.00037751728663064366,abs,4.4332899058158754e-05,0.017199257388710976,0.017551293596625328,0.0003520362079143524,
