variable,tier,r_delta_maps,rmse_delta_maps,mean_abs_delta_diff,note
pr,B_bilinear_upsample_S2_delta_vs_S3_delta,-0.6994518751424144,9.738379260808179,8.004974467240169,
tasmax,B_bilinear_upsample_S2_delta_vs_S3_delta,0.17545512759924722,0.07482250392238256,0.06292639596048691,
tasmin,B_bilinear_upsample_S2_delta_vs_S3_delta,0.6556053146399297,0.055602987500017756,0.046764359099396274,
rsds,B_bilinear_upsample_S2_delta_vs_S3_delta,-0.49511828863209945,1.7982983202794574,1.5882586664479899,
wind,B_bilinear_upsample_S2_delta_vs_S3_delta,0.8272478082578072,0.028948789134484686,0.022483983336220908,
huss,B_bilinear_upsample_S2_delta_vs_S3_delta,-0.19767556006849285,6.539338996527847e-05,5.683838052846362e-05,
