regime,pooled_bias,pooled_rmse,n_days
q1_dullest,41.92715678971691,57.04617933348698,822
q2,47.606954224869035,76.17867305738629,822
q3,40.41000021315681,78.45264703619993,821
q4_brightest,16.768839617172752,60.88864930248108,822
