season,DOR_test8_v2,DOR_test8_v3,DOR_test8_v4,GridMET,LOCA2,S3_cmip6_inputs
DJF,0.9924023325836477,0.9909689398328281,0.9907438196008399,0.9999999999999999,0.992152332702327,0.9866041059126832
JJA,0.9126488915912537,0.9018162424242071,0.9008074377726474,1.0,0.8415129494289623,0.6613414037260046
MAM,0.9720276559035735,0.9591449800665407,0.9587511327048809,1.0,0.9569957902975588,0.911367165621668
SON,0.9421698438884298,0.9202614725924119,0.9197863637179666,1.0,0.9404895154563309,0.7249299432840358
full,0.9857097520791547,0.9834689671313582,0.9832676414446958,1.0,0.9777973315025458,0.9366079966166554
