season,product,r_vs_gridmet,rmse_vs_gridmet_mm_day,mean_grad_mag,p95_grad_mag,mean_grad_mag_gridmet,high_freq_power_frac_r_ge_20,gridmet_high_freq_power_frac_r_ge_20
full,GridMET,1.0,0.0,0.022337889672505558,0.05083014961477287,0.022337889672505558,0.007553475581955739,0.007553475581955739
full,S3_cmip6_inputs,0.9366079966166554,0.21342631626398115,0.014803396397676482,0.030963937758090268,0.022337889672505558,0.00021379904429212512,0.007553475581955739
full,DOR_test8_v2,0.9857097520791547,0.0789049740051009,0.024679515484979767,0.05346915656086192,0.022337889672505558,0.009324023636577678,0.007553475581955739
full,DOR_test8_v3,0.9834689671313582,0.14810396605335444,0.0335681562274195,0.06856093111076983,0.022337889672505558,0.014008092786330634,0.007553475581955739
full,DOR_test8_v4,0.9832676414446958,0.14915904771592586,0.03370578838381986,0.06880770950031138,0.022337889672505558,0.01407317424540362,0.007553475581955739
full,LOCA2,0.9777973315025458,0.09032924634263886,0.02353470428772818,0.05195597439097271,0.022337889672505558,0.006725550568170422,0.007553475581955739
full,NEX,,,,,0.022337889672505558,,0.007553475581955739
DJF,GridMET,0.9999999999999999,0.0,0.02310832318310158,0.05455845422556465,0.02310832318310158,0.004154885668015786,0.004154885668015786
DJF,S3_cmip6_inputs,0.9866041059126832,0.09964147901838358,0.012950885866588381,0.02982988193078432,0.02310832318310158,0.0003653588108776433,0.004154885668015786
DJF,DOR_test8_v2,0.9924023325836477,0.09113449432929442,0.025047635859522657,0.06015139514702847,0.02310832318310158,0.005754820897288614,0.004154885668015786
DJF,DOR_test8_v3,0.9909689398328281,0.11443737446025379,0.03620489103051468,0.09131712782266302,0.02310832318310158,0.009935125801092421,0.004154885668015786
DJF,DOR_test8_v4,0.9907438196008399,0.11583279849228562,0.03664446603623043,0.09190603684393202,0.02310832318310158,0.010171983162442232,0.004154885668015786
DJF,LOCA2,0.992152332702327,0.06979667241086611,0.023303306554967974,0.053729324616207996,0.02310832318310158,0.0043921097563840205,0.004154885668015786
DJF,NEX,,,,,0.02310832318310158,,0.004154885668015786
MAM,GridMET,1.0,0.0,0.030978192769708725,0.0706104532898633,0.030978192769708725,0.00839002702157924,0.00839002702157924
MAM,S3_cmip6_inputs,0.911367165621668,0.2208799172063119,0.018878574247910382,0.03346159157214771,0.030978192769708725,0.0003826107118092488,0.00839002702157924
MAM,DOR_test8_v2,0.9720276559035735,0.11011229947989928,0.03734749227925206,0.07874132945243977,0.030978192769708725,0.007428368971738401,0.00839002702157924
MAM,DOR_test8_v3,0.9591449800665407,0.30421490635620146,0.06008495486656281,0.12305593319589252,0.030978192769708725,0.01947721586922278,0.00839002702157924
MAM,DOR_test8_v4,0.9587511327048809,0.30612252701295917,0.060379884707217994,0.12368868446326761,0.030978192769708725,0.01954401798277516,0.00839002702157924
MAM,LOCA2,0.9569957902975588,0.24006196400864782,0.03150608122562932,0.06992231294982593,0.030978192769708725,0.009344504594672112,0.00839002702157924
MAM,NEX,,,,,0.030978192769708725,,0.00839002702157924
JJA,GridMET,1.0,0.0,0.0398114329551248,0.09045021514525714,0.0398114329551248,0.007409300067425564,0.007409300067425564
JJA,S3_cmip6_inputs,0.6613414037260046,0.5047167037108186,0.03364952342485119,0.06481800331263181,0.0398114329551248,0.0004028822729791122,0.007409300067425564
JJA,DOR_test8_v2,0.9126488915912537,0.21666656372236032,0.04496752565307711,0.09866395433883457,0.0398114329551248,0.008534079674447725,0.007409300067425564
JJA,DOR_test8_v3,0.9018162424242071,0.24514714756792017,0.06943811522795479,0.14090579047238513,0.0398114329551248,0.022191304448126312,0.007409300067425564
JJA,DOR_test8_v4,0.9008074377726474,0.24639738084093432,0.06992167098450987,0.14195487775486967,0.0398114329551248,0.022294927588894564,0.007409300067425564
JJA,LOCA2,0.8415129494289623,0.19559731285503393,0.04781575527285494,0.10174616297779016,0.0398114329551248,0.012019890603358908,0.007409300067425564
JJA,NEX,,,,,0.0398114329551248,,0.007409300067425564
SON,GridMET,1.0,0.0,0.027439008635115007,0.06293464731106838,0.027439008635115007,0.003762682359539053,0.003762682359539053
SON,S3_cmip6_inputs,0.7249299432840358,0.4333397851846474,0.02509238096464837,0.05365366459823014,0.027439008635115007,0.0004621761508202535,0.003762682359539053
SON,DOR_test8_v2,0.9421698438884298,0.1438076553931616,0.03431760377032366,0.07067490241138108,0.027439008635115007,0.00974759546154843,0.003762682359539053
SON,DOR_test8_v3,0.9202614725924119,0.170165656300776,0.057413374267371226,0.11964203063633218,0.027439008635115007,0.038055236316341175,0.003762682359539053
SON,DOR_test8_v4,0.9197863637179666,0.1706542129624181,0.05763032184723141,0.12002694145574674,0.027439008635115007,0.03831099296523005,0.003762682359539053
SON,LOCA2,0.9404895154563309,0.17274789021200887,0.03660628898561179,0.08335779156602069,0.027439008635115007,0.0069505529104040694,0.003762682359539053
SON,NEX,,,,,0.027439008635115007,,0.003762682359539053
