product,domain_time_mean_mm_day,wet_day_frac_pct_gt_0p1mm,n_days,shape
GridMET,2.3965704441070557,39.03486035056638,12418,36x36
S3_cmip6_inputs,2.526764154434204,52.20738230684733,12418,36x36
DOR_test8_v2,2.3151187896728516,34.63224809026966,12418,36x36
DOR_test8_v3,2.493234395980835,38.39827262667735,12418,36x36
DOR_test8_v4,2.4941506385803223,35.06441084411443,12418,36x36
LOCA2,2.3310706615448,32.446354256763875,12418,36x36
NEX,2.2991018295288086,37.21074445895942,12418,36x36
