season,DOR_test8_v2,DOR_test8_v3,DOR_test8_v4,GridMET,LOCA2,NEX,S3_cmip6_inputs
DJF,0.9923628808906669,0.9900769439331727,0.9898452043609719,1.0,0.9926120003266655,0.9873862512506959,0.9865976180811099
JJA,0.9132934437450234,0.9036999256774986,0.9027875864302486,1.0,0.8432648091547268,0.89415828329337,0.6607992439964717
MAM,0.9711408672291998,0.9597348031748426,0.9593315689436518,1.0,0.9580390769900161,0.9691961021127147,0.9070740334583984
SON,0.9395528692932075,0.9182623312961022,0.9177990991897226,0.9999999999999999,0.9415116903696614,0.9364334666119999,0.7199870630245966
full,0.9851755335982669,0.9830988530038958,0.9829070351447632,1.0,0.9785706845594324,0.9763327727518897,0.9342412385790098
