season,product,r_vs_gridmet,rmse_vs_gridmet_mm_day,mean_grad_mag,p95_grad_mag,mean_grad_mag_gridmet,high_freq_power_frac_r_ge_20,gridmet_high_freq_power_frac_r_ge_20
full,GridMET,1.0,0.0,0.01650075093815046,0.03852178697393345,0.01650075093815046,0.007904115697966155,0.007904115697966155
full,S3_cmip6_inputs,0.9366057557279777,0.21342289364833691,0.009917530885493492,0.020849276341879826,0.01650075093815046,0.00017666720691068654,0.007904115697966155
full,DOR_test8_v2,0.9856691755473064,0.07927520889297811,0.018013799410172414,0.04020985535920804,0.01650075093815046,0.009012921202625528,0.007904115697966155
full,DOR_test8_v3,0.9832542003727642,0.1485344055603879,0.025116651800099622,0.052224069451782124,0.01650075093815046,0.013659714632326776,0.007904115697966155
full,DOR_test8_v4,0.9830474959336802,0.14959451116758637,0.025225606138769223,0.05247023144148873,0.01650075093815046,0.013720023430156904,0.007904115697966155
full,LOCA2,0.9776688872771656,0.09000013774494352,0.01533824333190388,0.03381081745779878,0.01650075093815046,0.004509924799275267,0.007904115697966155
full,NEX,0.9754816048884457,0.11006385092286848,0.00727787669274172,0.013375038830756913,0.01650075093815046,2.2577145803344608e-05,0.007904115697966155
DJF,GridMET,1.0,0.0,0.017169269710231604,0.04142010177885234,0.017169269710231604,0.004811683456898227,0.004811683456898227
DJF,S3_cmip6_inputs,0.9863393279744318,0.09986068090507914,0.008588690588236522,0.019908394064270137,0.017169269710231604,8.734004997034028e-05,0.004811683456898227
DJF,DOR_test8_v2,0.9923655839308927,0.09122699554458932,0.01837778530323195,0.043869875374676494,0.017169269710231604,0.0065390277968475465,0.004811683456898227
DJF,DOR_test8_v3,0.9907085492501051,0.11474028290966748,0.027070943739410745,0.06781124301606228,0.017169269710231604,0.010709287962717329,0.004811683456898227
DJF,DOR_test8_v4,0.9904758528647134,0.11614823327017083,0.027383547164536302,0.06829178411910218,0.017169269710231604,0.010959319330627406,0.004811683456898227
DJF,LOCA2,0.99218758959524,0.0687819741487534,0.015251545137304156,0.034645318087012274,0.017169269710231604,0.0029880456022116173,0.004811683456898227
DJF,NEX,0.9873100510102499,0.1032696151603152,0.007582962554258721,0.015958807018362674,0.017169269710231604,1.829779422882961e-05,0.004811683456898227
MAM,GridMET,1.0,0.0,0.02317147625015284,0.05374515478664636,0.02317147625015284,0.008410406793636072,0.008410406793636072
MAM,S3_cmip6_inputs,0.9122145403948523,0.22074023135783838,0.012681492199232695,0.022606706933514444,0.02317147625015284,0.0002258543311198773,0.008410406793636072
MAM,DOR_test8_v2,0.9722423194778819,0.11014171828910369,0.027250563602248503,0.05917781459353245,0.02317147625015284,0.00711333787078891,0.008410406793636072
MAM,DOR_test8_v3,0.95900562461084,0.30470795079655494,0.045277639487084555,0.0935035167020811,0.02317147625015284,0.01729808168987806,0.008410406793636072
MAM,DOR_test8_v4,0.9586080872175132,0.3066240936172466,0.04550255581488902,0.09393018809552177,0.02317147625015284,0.017357047186619623,0.008410406793636072
MAM,LOCA2,0.9562320762267352,0.23995219561175363,0.020560506755511465,0.04545662903801142,0.02317147625015284,0.006336296924312723,0.008410406793636072
MAM,NEX,0.9664132292913832,0.24086857201040543,0.009133662871584748,0.016916758976927515,0.02317147625015284,3.028082272963618e-05,0.008410406793636072
JJA,GridMET,0.9999999999999998,0.0,0.02973718928408502,0.069405637323553,0.02973718928408502,0.007170079598473421,0.007170079598473421
JJA,S3_cmip6_inputs,0.6618176982334165,0.5039409028158197,0.022559055741726865,0.043762078816975025,0.02973718928408502,0.0003070680842104143,0.007170079598473421
JJA,DOR_test8_v2,0.9124771079153386,0.2173407260505985,0.03327640440215128,0.07369395715552786,0.02973718928408502,0.008179545121686435,0.007170079598473421
JJA,DOR_test8_v3,0.9008492712164435,0.24652420152276694,0.052729642114536825,0.10825961792059721,0.02973718928408502,0.020817940589720953,0.007170079598473421
JJA,DOR_test8_v4,0.8998164096778323,0.2477948782877891,0.05310385140906886,0.1088353074892152,0.02973718928408502,0.020921012375689236,0.007170079598473421
JJA,LOCA2,0.8424663467811214,0.1944276373975752,0.03131678663016968,0.06680776707589343,0.02973718928408502,0.008173663900908915,0.007170079598473421
JJA,NEX,0.8942680451713289,0.18895994587519516,0.009581003702405482,0.01992364908982132,0.02973718928408502,2.9289988801480057e-05,0.007170079598473421
SON,GridMET,1.0,0.0,0.020462564710993104,0.0472006741496948,0.020462564710993104,0.00424869885308038,0.00424869885308038
SON,S3_cmip6_inputs,0.7225122229664579,0.4366255663053502,0.016812904903388638,0.03588441196428925,0.020462564710993104,0.0003711587805883018,0.00424869885308038
SON,DOR_test8_v2,0.9419025123381357,0.14387782331699803,0.024837514149288427,0.05241288673759543,0.020462564710993104,0.010991748017260949,0.00424869885308038
SON,DOR_test8_v3,0.9188984341124691,0.17154753097073794,0.042889003297807475,0.08998658780342056,0.020462564710993104,0.039988978805545874,0.00424869885308038
SON,DOR_test8_v4,0.9184134749955923,0.1720436846846314,0.04304557140736911,0.09018078119639213,0.020462564710993104,0.040227105822870174,0.00424869885308038
SON,LOCA2,0.9403823012236889,0.1719295432954678,0.02406539220168978,0.054903374375243126,0.020462564710993104,0.0034726991546412244,0.00424869885308038
SON,NEX,0.9370335792869129,0.1668963809903687,0.00968082759630422,0.019180241437048128,0.020462564710993104,1.4751286438452418e-05,0.00424869885308038
