season,DOR_test8_v2,DOR_test8_v3,DOR_test8_v4,GridMET,LOCA2,NEX,S3_cmip6_inputs
DJF,0.9923655839308927,0.9907085492501051,0.9904758528647134,1.0,0.99218758959524,0.9873100510102499,0.9863393279744318
JJA,0.9124771079153386,0.9008492712164435,0.8998164096778323,0.9999999999999998,0.8424663467811214,0.8942680451713289,0.6618176982334165
MAM,0.9722423194778819,0.95900562461084,0.9586080872175132,1.0,0.9562320762267352,0.9664132292913832,0.9122145403948523
SON,0.9419025123381357,0.9188984341124691,0.9184134749955923,1.0,0.9403823012236889,0.9370335792869129,0.7225122229664579
full,0.9856691755473064,0.9832542003727642,0.9830474959336802,1.0,0.9776688872771656,0.9754816048884457,0.9366057557279777
