regime,pooled_bias,pooled_rmse,n_days
q1_dullest,41.861491599979516,56.98846459408795,822
q2,47.54355043080182,76.13726311408973,822
q3,40.35149768554708,78.42861848374615,821
q4_brightest,16.766918349714015,61.01636682308886,822
