stage,product,pipeline_id,variable,mean_hist,mean_fut,signal,signal_kind,std_spatial_delta,ext99_hist,ext99_fut,delta_ext99,note
S1_raw,Cropped_Iowa_Raw,,pr,2.565720165934582,2.607069922766907,1.6116237602687544,pct,3.887872944264244,31.775545692443824,32.93454936981199,3.6474705693024134,
S2_bc,BCPC_mv_otbc_physics_corrected,,pr,2.5228916197427753,2.4111543912251117,-4.428934980756994,pct,5.7512991873931965,31.868282165527006,30.918087100982653,-2.981632519788524,
S3_regrid,cmip6_inputs,,pr,2.526764154434204,2.4086403846740723,-4.674902899270917,pct,5.337893009185791,30.02940725326549,29.10841947555539,-3.066952903677167,
external,LOCA2,,pr,2.3310706615448,2.347562789916992,0.7074915246965574,pct,4.905664443969727,32.89691059112549,33.714366645812994,2.484902199013783,
external,NEX,,pr,2.299101946308433,2.3105607410574507,0.498403029166794,pct,3.680133487295033,26.096615409851083,26.53789813995362,1.6909577091554384,
S4_dor,DOR,test8_v2,pr,2.3151187896728516,2.236969232559204,-3.3756176326025455,pct,5.201313495635986,30.78336313247685,30.173163108825555,-1.9822396306286127,
S4_dor,DOR,test8_v3,pr,2.493234395980835,2.4073123931884766,-3.4462064175115326,pct,5.140978813171387,32.72345977783209,32.02740322113035,-2.1270872989238465,
S4_dor,DOR,test8_v4,pr,2.4941506385803223,2.408513307571411,-3.43352685479017,pct,5.182389259338379,33.01661079406739,32.32751346588123,-2.087123152903869,
S1_raw,Cropped_Iowa_Raw,,tasmax,14.314368704762666,15.521363242778163,1.206994538015497,abs,0.11386419132418718,36.8093893432617,38.451350097656245,1.641960754394546,
S2_bc,BCPC_mv_otbc_physics_corrected,,tasmax,15.600928085294887,16.94290145576176,1.3419733704668726,abs,0.06347612051823542,38.03778598785396,40.03070831298828,1.992922325134323,
S3_regrid,cmip6_inputs,,tasmax,15.539306640625,16.8814697265625,1.3421630859375,abs,0.05878794193267822,37.714856262207036,39.66499397277828,1.9501377105712407,
external,LOCA2,,tasmax,288.65155029296875,289.8672180175781,1.215667724609375,abs,0.11622451990842819,309.218017578125,310.88572174072266,1.6677041625976585,
external,NEX,,tasmax,289.1179137395708,290.3037887648262,1.1858750252554273,abs,0.11059640974053854,309.5970153808594,311.4395446777344,1.842529296875,
S4_dor,DOR,test8_v2,tasmax,288.70947265625,290.0497131347656,1.340240478515625,abs,0.06318823993206024,310.65069580078125,312.6235464477539,1.9728506469726312,
S4_dor,DOR,test8_v3,tasmax,288.70947265625,290.0497131347656,1.340240478515625,abs,0.06318823993206024,310.65069580078125,312.6235464477539,1.9728506469726312,
S4_dor,DOR,test8_v4,tasmax,288.70947265625,290.0497131347656,1.340240478515625,abs,0.06318823993206024,310.65069580078125,312.6235464477539,1.9728506469726312,
S1_raw,Cropped_Iowa_Raw,,tasmin,6.085907425317672,7.367169803932992,1.2812623786153194,abs,0.06493565428345517,28.05653045654296,29.771301574706996,1.7147711181640375,
S2_bc,BCPC_mv_otbc_physics_corrected,,tasmin,3.669273662602675,4.803830729150327,1.1345570665476523,abs,0.07155314614159028,23.883655548095703,24.898900680541985,1.0152451324462817,
S3_regrid,cmip6_inputs,,tasmin,3.694129467010498,4.82413911819458,1.130009651184082,abs,0.06558062881231308,23.654384059906008,24.570041999816873,0.9156579399108651,
external,LOCA2,,tasmin,276.5781555175781,277.8399963378906,1.2618408203125,abs,0.07399356365203857,296.6380920410156,298.1895852661133,1.5514932250976585,
external,NEX,,tasmin,277.0890634083367,278.37268789173,1.2836244833932824,abs,0.06727432694317836,297.96270751953125,299.39777618408203,1.4350686645507835,
S4_dor,DOR,test8_v2,tasmin,276.8744812011719,278.00506591796875,1.130584716796875,abs,0.06573578715324402,296.5937805175781,297.4928396606445,0.8990591430663812,
S4_dor,DOR,test8_v3,tasmin,276.8744812011719,278.00506591796875,1.130584716796875,abs,0.06573578715324402,296.5937805175781,297.4928396606445,0.8990591430663812,
S4_dor,DOR,test8_v4,tasmin,276.8744812011719,278.00506591796875,1.130584716796875,abs,0.06573578715324402,296.5937805175781,297.4928396606445,0.8990591430663812,
S1_raw,Cropped_Iowa_Raw,,rsds,173.10929928580143,176.5807815422023,3.4714822564008614,abs,1.8566403966728302,353.66845703125,358.3848999023437,4.7164428710937045,
S2_bc,BCPC_mv_otbc_physics_corrected,,rsds,172.8397818753502,176.96921545464207,4.129433579291856,abs,1.1803925170210896,323.2322723388671,326.1345883178711,2.9023159790039585,
S3_regrid,cmip6_inputs,,rsds,172.56411743164062,176.67877197265625,4.114654541015625,abs,1.0722647905349731,321.3629672241211,324.4108615112304,3.0478942871092727,
external,NEX,,rsds,209.88957368365595,212.6309557435338,2.74138205987785,abs,1.4572452352878504,365.64878723144534,372.2244058227539,6.575618591308569,
S4_dor,DOR,test8_v2,rsds,172.3104248046875,176.43228149414062,4.121856689453125,abs,1.088636875152588,322.93555114746096,326.2976187133789,3.3620675659179255,
S4_dor,DOR,test8_v3,rsds,172.3104248046875,176.43228149414062,4.121856689453125,abs,1.088636875152588,322.93555114746096,326.2976187133789,3.3620675659179255,
S4_dor,DOR,test8_v4,rsds,172.3104248046875,176.43228149414062,4.121856689453125,abs,1.088636875152588,322.93555114746096,326.2976187133789,3.3620675659179255,
S1_raw,Cropped_Iowa_Raw,,wind,4.025221741772612,3.8078487915881416,-0.21737295018447078,abs,0.08879463192958771,11.260837526321403,10.531925821304316,-0.7289117050170866,
S2_bc,BCPC_mv_otbc_physics_corrected,,wind,4.152941609247769,4.029368831073428,-0.1235727781743412,abs,0.05399953694872704,8.560720405578593,8.390960302352903,-0.16976010322568946,
S3_regrid,cmip6_inputs,,wind,4.150048732757568,4.020777225494385,-0.1292715072631836,abs,0.048591114580631256,8.265336437225344,8.075116510391235,-0.19021992683410893,
external,NEX,,wind,3.650571592343002,3.4705562949488864,-0.1800152973941156,abs,0.0570322842801054,8.226780920028691,7.723511371612549,-0.5032695484161422,
S4_dor,DOR,test8_v2,wind,4.205748081207275,4.075586318969727,-0.13016176223754883,abs,0.050158463418483734,8.605518875122073,8.397589435577391,-0.20792943954468157,
S4_dor,DOR,test8_v3,wind,4.205783367156982,4.075623035430908,-0.13016033172607422,abs,0.05014284327626228,8.606590814590454,8.397926254272448,-0.20866456031800595,
S4_dor,DOR,test8_v4,wind,4.205783367156982,4.075623035430908,-0.13016033172607422,abs,0.05014284327626228,8.606590814590454,8.397926254272448,-0.20866456031800595,
S1_raw,Cropped_Iowa_Raw,,huss,0.0069605041339422715,0.007373621926298331,0.0004131177923560594,abs,5.285551469558619e-05,0.018569636922329665,0.01905972382053733,0.0004900868982076652,
S2_bc,BCPC_mv_otbc_physics_corrected,,huss,0.006191243328292975,0.006567835362981334,0.0003765920346883592,abs,4.9267252013485656e-05,0.016744373422116033,0.01714118367061019,0.0003968102484941567,
S3_regrid,cmip6_inputs,,huss,0.006200042087584734,0.00657719885930419,0.0003771567717194557,abs,4.37527232861612e-05,0.016644538473337897,0.017033583708107432,0.00038904523476953473,
external,NEX,,huss,0.007505061254292719,0.007961314290947616,0.00045625303665489635,abs,7.079909024738892e-05,0.019758887439966205,0.02056734075769782,0.000808453317731616,
S4_dor,DOR,test8_v2,huss,0.006479224655777216,0.006856054533272982,0.0003768298774957657,abs,4.361948958830908e-05,0.01719213515520096,0.01754218105226755,0.0003500458970665879,
S4_dor,DOR,test8_v3,huss,0.006479224655777216,0.006856054533272982,0.0003768298774957657,abs,4.361948958830908e-05,0.01719213515520096,0.01754218105226755,0.0003500458970665879,
S4_dor,DOR,test8_v4,huss,0.006479224655777216,0.006856054533272982,0.0003768298774957657,abs,4.361948958830908e-05,0.01719213515520096,0.01754218105226755,0.0003500458970665879,
