PR_WDF_THRESHOLD_FACTOR,pr_Val_WDF_Sim%,pr_Val_WDF_Obs%,pr_Val_Ext99_Bias%,pr_Val_RMSE_pooled,pr_Val_KGE,pr_Val_Lag1_Err,pr_Val_Bias,wind_Val_Ext99_Bias%,wall_s,out_dir
1.15,35.00564619037961,32.68437927821722,4.207545,10.801588,0.004040831411862,0.0200905293540681,0.20799041,-8.808012,1160.2,c:\drops-of-resilience\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p15
1.2,34.219984608981505,32.68437927821722,4.207545,10.803554,0.0042575598853912,0.0188584215858452,0.1958642,-8.808012,664.9,c:\drops-of-resilience\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p20
1.25,33.44734518135415,32.68437927821722,4.207545,10.805481,0.0044640335374656,0.0175515651669349,0.18331671,-8.808012,594.5,c:\drops-of-resilience\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p25
1.3,32.69245507343745,32.68437927821722,4.207545,10.807363,0.0046543540299409,0.0161902033499246,0.17045093,-8.808012,593.0,c:\drops-of-resilience\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p30
1.35,31.952858271642494,32.68437927821722,4.207545,10.809149,0.0048365031532513,0.0147458342667531,0.15720034,-8.808012,594.9,c:\drops-of-resilience\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p35
1.4,31.234340932714733,32.68437927821722,4.207545,10.810911,0.0049896808657222,0.0132545523620866,0.14373398,-8.808012,593.6,c:\drops-of-resilience\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p40
