PR_WDF_THRESHOLD_FACTOR,pr_Val_WDF_Sim%,pr_Val_WDF_Obs%,pr_Val_Ext99_Bias%,pr_Val_RMSE_pooled,pr_Val_KGE,pr_Val_Lag1_Err,pr_Val_Bias,wind_Val_Ext99_Bias%,wall_s,out_dir
1.55,32.924254354207136,32.317395233232375,-0.053930003,9.909105,0.0241483527431485,0.0549455058737895,0.095131636,-7.3800335,1464.2,D:\WRC_DOR_runs\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p55_216
1.6,32.62543580826568,32.317395233232375,-0.053930003,9.909614,0.0241634430835775,0.0548282854486176,0.092906,-7.3800335,1356.3,D:\WRC_DOR_runs\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p60_216
1.65,32.33588752018234,32.317395233232375,-0.053930003,9.910125,0.0241763670927268,0.0547089876781355,0.09067798,-7.3800335,1411.2,D:\WRC_DOR_runs\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p65_216
1.7,32.05502729985008,32.317395233232375,-0.053930003,9.910629,0.0241893250790636,0.0545850623470557,0.08844662,-7.3800335,1350.5,D:\WRC_DOR_runs\4-test8-v2-pr-intensity\output\test8_v2_pr_intensity\experiment_wdf_factor_1p70_216
