variable,window,product,pipeline_id,metric,value,note
tasmax,validation_2006_2014,S3_cmip6_inputs,,p99_pooled,38.863731384277344,
tasmax,validation_2006_2014,S3_cmip6_inputs,,lag1_domain_mean,0.965329362875508,
tasmax,validation_2006_2014,S3_cmip6_inputs,,seasonal_range_domain_mean,32.037044525146484,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_skew,-0.31586986780166626,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_cv,0.795089840888977,
tasmax,validation_2006_2014,S3_cmip6_inputs,,KGE_vs_GridMET,0.036822566247012634,
tasmax,validation_2006_2014,S3_cmip6_inputs,,RMSE_vs_GridMET,272.8312072753906,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_variance,163.020263671875,
tasmax,validation_2006_2014,DOR,test8_v2,p01_pooled,259.9747009277344,
tasmax,validation_2006_2014,DOR,test8_v2,p99_pooled,311.8065490722656,
tasmax,validation_2006_2014,DOR,test8_v2,lag1_domain_mean,0.9548031188786866,
tasmax,validation_2006_2014,DOR,test8_v2,seasonal_range_domain_mean,32.159210205078125,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_skew,-0.3436073660850525,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_cv,0.04412442445755005,
tasmax,validation_2006_2014,DOR,test8_v2,KGE_vs_GridMET,0.8005215511559103,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_variance,163.020263671875,
tasmax,validation_2006_2014,DOR,test8_v3,p01_pooled,259.9747009277344,
tasmax,validation_2006_2014,DOR,test8_v3,p99_pooled,311.8065490722656,
tasmax,validation_2006_2014,DOR,test8_v3,lag1_domain_mean,0.9548031188786866,
tasmax,validation_2006_2014,DOR,test8_v3,seasonal_range_domain_mean,32.159210205078125,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_skew,-0.3436073660850525,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_cv,0.04412442445755005,
tasmax,validation_2006_2014,DOR,test8_v3,KGE_vs_GridMET,0.8005215511559103,
tasmax,validation_2006_2014,DOR,test8_v4,pooled_variance,163.020263671875,
tasmax,validation_2006_2014,DOR,test8_v4,p01_pooled,259.9747009277344,
tasmax,validation_2006_2014,DOR,test8_v4,p99_pooled,311.8065490722656,
tasmax,validation_2006_2014,DOR,test8_v4,lag1_domain_mean,0.9548031188786866,
tasmax,validation_2006_2014,DOR,test8_v4,seasonal_range_domain_mean,32.159210205078125,
tasmax,validation_2006_2014,DOR,test8_v4,pooled_skew,-0.3436073660850525,
tasmax,validation_2006_2014,DOR,test8_v4,pooled_cv,0.04412442445755005,
tasmax,validation_2006_2014,DOR,test8_v4,KGE_vs_GridMET,0.8005215511559103,
tasmax,validation_2006_2014,LOCA2,,pooled_variance,163.47390747070312,
tasmax,validation_2006_2014,LOCA2,,p01_pooled,260.0904235839844,
tasmax,validation_2006_2014,LOCA2,,p99_pooled,310.2275085449219,
tasmax,validation_2006_2014,LOCA2,,lag1_domain_mean,0.9714220451888653,
tasmax,validation_2006_2014,LOCA2,,seasonal_range_domain_mean,32.34844970703125,
tasmax,validation_2006_2014,LOCA2,,pooled_skew,-0.38580507040023804,
tasmax,validation_2006_2014,LOCA2,,pooled_cv,0.04421592503786087,
tasmax,validation_2006_2014,LOCA2,,KGE_vs_GridMET,0.8100861225719922,
tasmax,validation_2006_2014,NEX,,pooled_variance,,missing
tasmin,validation_2006_2014,GridMET,,pooled_variance,137.17881774902344,
tasmin,validation_2006_2014,GridMET,,p01_pooled,248.5052490234375,
tasmin,validation_2006_2014,GridMET,,p99_pooled,296.5849914550781,
tasmin,validation_2006_2014,GridMET,,lag1_domain_mean,0.968901181726683,
tasmin,validation_2006_2014,GridMET,,seasonal_range_domain_mean,28.9132080078125,
tasmin,validation_2006_2014,GridMET,,pooled_skew,-0.36267969012260437,
tasmin,validation_2006_2014,GridMET,,pooled_cv,0.042326949536800385,
tasmin,validation_2006_2014,S3_cmip6_inputs,,pooled_variance,139.7301025390625,
tasmin,validation_2006_2014,S3_cmip6_inputs,,p01_pooled,-24.442869186401367,
tasmin,validation_2006_2014,S3_cmip6_inputs,,p99_pooled,24.14655113220215,
tasmin,validation_2006_2014,S3_cmip6_inputs,,lag1_domain_mean,0.9614401547900777,
tasmin,validation_2006_2014,S3_cmip6_inputs,,seasonal_range_domain_mean,31.7281494140625,
tasmin,validation_2006_2014,S3_cmip6_inputs,,pooled_skew,-0.38095539808273315,
tasmin,validation_2006_2014,S3_cmip6_inputs,,pooled_cv,2.8220386505126953,
tasmin,validation_2006_2014,S3_cmip6_inputs,,KGE_vs_GridMET,-0.0014728148573925903,
tasmin,validation_2006_2014,S3_cmip6_inputs,,RMSE_vs_GridMET,272.6841735839844,
tasmin,validation_2006_2014,DOR,test8_v2,pooled_variance,135.25001525878906,
tasmin,validation_2006_2014,DOR,test8_v2,p01_pooled,249.2584228515625,
