variable,mean_hist_s1,mean_hist_s2,mean_fut_s1,mean_fut_s2,delta_mean_hist_s2_minus_s1,delta_mean_fut_s2_minus_s1,kind
pr,2.565720165934582,2.5228916197427753,2.607069922766907,2.4111543912251117,-1.669260224144098,-7.514778557791546,pct_domain_mean
tasmax,14.314368704762666,15.600928085294887,15.521363242778163,16.94290145576176,1.2865593805322213,1.421538212983597,abs_domain_mean
tasmin,6.085907425317672,3.669273662602675,7.367169803932992,4.803830729150327,-2.4166337627149974,-2.5633390747826645,abs_domain_mean
rsds,173.10929928580143,172.8397818753502,176.5807815422023,176.96921545464207,-0.2695174104512148,0.38843391243977976,abs_domain_mean
wind,4.025221741772612,4.152941609247769,3.8078487915881416,4.029368831073428,0.1277198674751565,0.2215200394852861,abs_domain_mean
huss,0.0069605041339422715,0.006191243328292975,0.007373621926298331,0.006567835362981334,-0.0007692608056492963,-0.0008057865633169965,abs_domain_mean
